latitude,longitude
47.0785322,7.3042671
47.408705,8.59143836
46.97099916,7.35693352
47.545123,7.5746519
46.964685,7.470182
47.22353903,7.09911402
47.30204945,8.76263186
47.31402629,8.0529435
47.32045,8.053402
47.33611731,8.02612936
46.746864,7.596014
47.69661627,8.5706945
47.38194093,8.05926172
47.38842248,8.0397318
47.3887847,8.04272822
47.321267,8.037676
47.244114,8.040485
47.366617,8.042915
47.271433,8.063904
46.6437884,6.63633047
46.902184,7.3558745
47.01342518,6.98464335
47.52850526,8.5321581
47.380019,8.054698
47.392239,8.050313
47.393822,8.047631
47.394989,8.043476
47.39254,8.046654
47.4412494,8.45791953
47.452631,8.650909
47.396222,8.057847
47.3965067,8.00798735
47.35833265,8.36510738
46.05273213,7.08352301
47.349918,8.051377
46.44209,7.45674001
47.373004,8.5307315
46.45227909,7.44412256
47.274902,8.8251047
46.527097,6.603096
47.270667,8.208422
47.18571818,8.45789809
47.434546,7.5214198
47.03456,8.242149
47.49501305,8.71295678
47.39244438,8.06474561
46.06934417,7.77681844
47.194414,7.6965367
47.5048507,8.59761516
47.39845722,8.494207
47.56465282,7.60171305
47.55686213,7.54545973
47.41513,8.7206226
47.237554,8.194744
47.56488,7.5645956
47.756321,8.496626
47.217009,7.75324
47.339708,8.6711403
47.04363,7.50302
47.216948,7.753892
47.37814375,8.51600706
46.773011,7.630969
47.26246602,8.17680208
47.392475,8.176
46.875382,7.557417
46.771916,7.160931
47.005479,7.68011176
46.59059441,7.65825015
47.39825739,8.80816818
47.034177,8.581824
47.201585,8.779825
47.34974673,7.40909608
47.53521105,8.72759977
47.44294604,8.6284405
47.54968807,7.77348359
47.277067,8.621207
47.56654813,8.41859101
47.55304,7.59455
46.62220703,8.01663129
47.41299116,8.54778624
47.54138432,7.61989951
47.04664923,8.37430164
47.00549089,7.68007756
46.915843,7.563368
47.49978522,8.69415667
47.49856437,8.69595635
46.62805654,7.05912367
47.391464,7.7186048
47.103521,7.6609071
46.47823777,6.43190817
46.345478,7.008281
47.511694,7.724283
47.408845,8.594846
47.400441561617455,8.483425712632636
47.36110201,7.992675
47.55394,8.89545
47.162477,8.1041296
47.37902691,8.55006544
47.218256,7.756636
47.168188,8.2877034
47.14266222,7.28549871
47.40772847,8.05057362
47.109909,7.8315769
47.41773214,8.04513764
47.568854,8.419987
47.412835,8.081841
47.55213,7.5967521
47.077645,7.5737433
47.40177189302496,8.482470648785199
46.490684,6.7703978
47.570034,7.6006609
47.21023905,7.55280303
47.562253,7.5700265
47.213159,7.9901541
47.507598,7.555642
47.43225989,8.46826343
47.270007,8.638705
47.413002,8.6179696
47.557168,7.7990085
47.452085,7.9408441
46.9564807,7.48389511
46.82037627,7.15316608
47.200975,8.7941245
47.200975,8.794174
47.200975,8.794189
47.200975,8.794209
47.073286,7.589852
47.54930114,7.59264285
47.586487,7.6549674
47.567503,7.5770233
47.540258,7.5997356
47.566546,7.5996125
47.583936,7.6551132
46.972618,8.763487
47.315485,7.6944932
47.315474,7.6944303
